ACCOUNT NUMBER;CUSTOMER NAME;BANK NAME;TRANSACTION DATE;PARTICULARS;UTR NO;DEBIT;CREDIT;BALANCE;COUNTERPARTY NAME;COUNTERPARTY ACCOUNT;IFSC CODE;MODE;LOGIN IP;LINKED MOBILE
20345678901234;POOJA DEVI;STATE BANK OF INDIA;08-Sep-2026 10:48:33;IMPS-IN/226951113904/SANJAY YADAV;226951113904;;195000.00;196420.00;SANJAY YADAV;918020045566778;UTIB0004521;IMPS;103.86.12.90;9765432109
20345678901234;POOJA DEVI;STATE BANK OF INDIA;08-Sep-2026 11:22:10;ATM CASH WDL ATMID S1AW4521 DEOGHAR JH;ATM45210011;45000.00;;151420.00;;;;ATM;;9765432109
20345678901234;POOJA DEVI;STATE BANK OF INDIA;08-Sep-2026 11:31:48;ATM CASH WDL ATMID S1AW4521 DEOGHAR JH;ATM45210042;45000.00;;106420.00;;;;ATM;;9765432109
20345678901234;POOJA DEVI;STATE BANK OF INDIA;08-Sep-2026 11:44:02;ATM CASH WDL ATMID S1AW4887 MADHUPUR JH;ATM48870019;45000.00;;61420.00;;;;ATM;;9765432109
20345678901234;POOJA DEVI;STATE BANK OF INDIA;08-Sep-2026 12:02:19;ATM CASH WDL ATMID S1AW4887 MADHUPUR JH;ATM48870055;45000.00;;16420.00;;;;ATM;;9765432109
004301500222789;RAKESH VERMA;ICICI BANK;08-Sep-2026 10:53:07;IMPS-IN/226951114188/SANJAY YADAV;226951114188;;190000.00;191850.00;SANJAY YADAV;918020045566778;UTIB0004521;IMPS;103.86.12.90;9654321098
004301500222789;RAKESH VERMA;ICICI BANK;08-Sep-2026 11:39:22;P2P TRADE SETTLEMENT WAZIRX CRYPTO EXCH;WZX99201144;185000.00;;6850.00;WAZIRX P2P TRADE;;;NETBANKING;103.86.12.90;9654321098
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 10:58:41;IMPS-IN/226951114620/SANJAY YADAV;226951114620;;95000.00;97230.00;SANJAY YADAV;918020045566778;UTIB0004521;IMPS;103.86.12.71;9543210987
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 11:04:55;IMPS-IN/226951114901/SANJAY YADAV;226951114901;;110000.00;207230.00;SANJAY YADAV;918020045566778;UTIB0004521;IMPS;103.86.12.71;9543210987
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 11:50:12;ATM CASH WDL ATMID KM7741 JAMTARA JH;ATM77410023;49000.00;;158230.00;;;;ATM;;9543210987
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 11:58:40;ATM CASH WDL ATMID KM7741 JAMTARA JH;ATM77410031;49000.00;;109230.00;;;;ATM;;9543210987
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 12:15:33;ATM CASH WDL ATMID KM7902 NARAYANPUR JH;ATM79020008;48000.00;;61230.00;;;;ATM;;9543210987
751234567890;KARAN TRADERS;KOTAK MAHINDRA BANK;08-Sep-2026 12:40:09;SELF CHQ CASH WITHDRAWAL BR JAMTARA;CHQ0004412;54000.00;;7230.00;;;;BRANCH;;9543210987
