CALL DETAIL RECORD - SUBSCRIBER 9876543210 - PROVIDED U/S 91 CrPC
TSP: BHARAT CELLULAR LTD | CIRCLE: MADHYA PRADESH | GENERATED: 08-09-2026 18:40
A-PARTY,B-PARTY,CALL TYPE,DATE & TIME,DURATION (SECS),IMEI,IMSI,FIRST CELL ID,SITE ADDRESS,ROAMING
9876543210,9425117788,OUTGOING,06/09/2026 18:12:40,143,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9425117788,INCOMING,07/09/2026 09:04:11,88,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
VM-SBIINB,9876543210,SMS-IN,07/09/2026 11:30:02,0,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9826554412,OUTGOING,07/09/2026 20:41:09,311,351756051523987,404451122334455,404-45-2211-30188,"NAVGRAH MANDIR BTS, KHARGONE",N
9123456789,9876543210,INCOMING,08/09/2026 10:05:23,214,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9123456789,9876543210,SMS-IN,08/09/2026 10:19:44,0,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9123456789,OUTGOING,08/09/2026 10:26:02,96,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
VM-HDFCBK,9876543210,SMS-IN,08/09/2026 10:32:19,0,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
VM-HDFCBK,9876543210,SMS-IN,08/09/2026 10:36:55,0,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
VM-HDFCBK,9876543210,SMS-IN,08/09/2026 10:41:12,0,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9123456789,OUTGOING,08/09/2026 10:44:30,4,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9123456789,OUTGOING,08/09/2026 10:47:58,3,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,1930,OUTGOING,08/09/2026 11:58:41,486,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
9876543210,9425117788,OUTGOING,08/09/2026 12:46:03,204,351756051523987,404451122334455,404-45-2211-30188,"KHARGONE BUS STAND BTS, KHARGONE",N
