MSISDN,PRIVATE IP,PUBLIC IP,SOURCE PORT,DESTINATION IP,DESTINATION PORT,START TIME,END TIME,DATA UP,DATA DOWN,ACCESS POINT,DESTINATION HOST,IMEI
9876543210,10.142.88.31,49.36.180.22,51422,45.148.10.77,443,2026-09-08 09:11:52,2026-09-08 09:13:40,14820,98440,internet,sbi-rewardz.xyz,351756051523987
9876543210,10.142.88.31,49.36.180.22,51488,45.148.10.77,443,2026-09-08 09:41:10,2026-09-08 09:44:02,22140,7841220,internet,sbi-rewardz.xyz/download/SBI-Rewards.apk,351756051523987
9876543210,10.142.88.31,49.36.180.22,51533,185.234.72.19,443,2026-09-08 09:46:31,2026-09-08 12:58:14,884210,412880,internet,cdn-track-sync.top,351756051523987
9876543210,10.142.88.31,49.36.180.22,51610,142.250.192.78,443,2026-09-08 10:02:14,2026-09-08 10:18:55,21400,318220,internet,mail.google.com,351756051523987
9123456789,10.88.201.14,103.86.12.44,44120,185.234.72.19,443,2026-09-08 09:02:41,2026-09-08 13:22:09,1284410,984220,internet,cdn-track-sync.top,359871042256641
9123456789,10.88.201.14,103.86.12.44,44188,45.148.10.77,443,2026-09-08 08:44:03,2026-09-08 08:52:17,88410,142200,internet,sbi-rewardz.xyz,359871042256641
9812345670,10.88.201.52,103.86.12.71,39882,104.18.32.115,443,2026-09-08 10:44:18,2026-09-08 11:12:55,442180,388120,internet,axisbank.com,359871042256641
9812345670,10.88.201.52,103.86.12.71,39901,185.234.72.19,443,2026-09-08 10:46:02,2026-09-08 11:40:31,214880,188420,internet,cdn-track-sync.top,359871042256641
9765432109,10.88.201.77,103.86.12.90,58210,104.18.32.115,443,2026-09-08 11:18:44,2026-09-08 11:29:02,118420,204880,internet,onlinesbi.sbi,352044118876520
9654321098,10.88.201.91,103.86.12.90,58244,104.18.32.115,443,2026-09-08 11:33:07,2026-09-08 11:41:58,98220,184410,internet,icicibank.com,352044118876520
9543210987,10.88.201.93,103.86.12.71,58290,185.234.72.19,443,2026-09-08 11:47:21,2026-09-08 12:31:44,184220,142880,internet,cdn-track-sync.top,359871048123452
