TXN ID,TIMESTAMP,PAYER VPA,PAYER NAME,PAYER MOBILE,PAYER BANK,PAYER ACCOUNT NO,PAYEE VPA,PAYEE NAME,PAYEE MOBILE,PAYEE BANK,PAYEE ACCOUNT NO,AMOUNT,STATUS,APP,DEVICE ID,IP ADDRESS
UPI226951090012,2026-09-08 09:55:12,anita.sharma7@ybl,ANITA SHARMA,9822014477,YES BANK,4410022003311,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,60000.00,SUCCESS,PhonePe,RMX3085-4411ca02,49.37.14.208
UPI226951090188,2026-09-08 10:12:40,mkpatel.1972@okicici,M K PATEL,9727881120,ICICI BANK,004401502299813,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,45000.00,SUCCESS,GPay,CPH2185-77b1de40,106.213.9.144
UPI226951090402,2026-09-08 11:15:03,d.solanki88@oksbi,D SOLANKI,9913344558,STATE BANK OF INDIA,20399887711234,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,38000.00,SUCCESS,BHIM,V2027-2c90aa81,157.34.88.19
UPI226951090550,2026-09-08 11:09:22,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,cashkart99@upi,KARAN TRADERS,9543210987,KOTAK MAHINDRA BANK,751234567890,62000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951090611,2026-09-08 11:12:55,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,pooja.d22@ybl,POOJA DEVI,9765432109,STATE BANK OF INDIA,20345678901234,41000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951090744,2026-09-08 11:16:31,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,rakesh.v@paytm,RAKESH VERMA,9654321098,ICICI BANK,004301500222789,39000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951090801,2026-09-08 02:41:10,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,cashkart99@upi,KARAN TRADERS,9543210987,KOTAK MAHINDRA BANK,751234567890,28000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951090915,2026-09-08 03:02:44,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,cashkart99@upi,KARAN TRADERS,9543210987,KOTAK MAHINDRA BANK,751234567890,28000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951091044,2026-09-08 03:29:57,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,cashkart99@upi,KARAN TRADERS,9543210987,KOTAK MAHINDRA BANK,751234567890,28000.00,SUCCESS,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
UPI226951091188,2026-09-08 12:44:02,sanjay.y@okaxis,SANJAY YADAV,9812345670,AXIS BANK,918020045566778,cashkart99@upi,KARAN TRADERS,9543210987,KOTAK MAHINDRA BANK,751234567890,15000.00,FAILED,PhonePe,SM-A045F-9d41c2ab,103.86.12.71
